Items,numbers,Percentage,Year,Month,Daypart,DayType
Coffee,328,1.6,2017,3,Afternoon,Weekday
Coffee,286,1.39,2017,3,Morning,Weekday
Coffee,242,1.18,2017,2,Afternoon,Weekday
Coffee,236,1.15,2016,12,Afternoon,Weekday
Coffee,230,1.12,2016,11,Morning,Weekday
Coffee,225,1.1,2017,1,Afternoon,Weekday
Coffee,218,1.06,2016,12,Morning,Weekday
Coffee,216,1.05,2016,11,Afternoon,Weekday
Coffee,181,0.88,2017,1,Morning,Weekday
Bread,167,0.81,2016,12,Afternoon,Weekday
Coffee,163,0.79,2017,2,Morning,Weekday
Bread,154,0.75,2017,3,Morning,Weekday
Bread,147,0.72,2017,3,Afternoon,Weekday
Bread,147,0.72,2017,2,Afternoon,Weekday
Bread,142,0.69,2016,11,Afternoon,Weekday
Coffee,141,0.69,2017,1,Morning,Weekend
Coffee,142,0.69,2017,1,Afternoon,Weekend
Bread,136,0.66,2017,1,Afternoon,Weekday
Coffee,135,0.66,2016,11,Morning,Weekend
Bread,131,0.64,2016,11,Morning,Weekday
Coffee,129,0.63,2016,11,Afternoon,Weekend
Coffee,129,0.63,2017,2,Afternoon,Weekend
Bread,125,0.61,2016,12,Morning,Weekday
Bread,117,0.57,2017,1,Afternoon,Weekend
Bread,115,0.56,2017,1,Morning,Weekday
Bread,104,0.51,2017,2,Morning,Weekday
Coffee,105,0.51,2017,2,Morning,Weekend
Coffee,101,0.49,2016,12,Afternoon,Weekend
Bread,99,0.48,2016,11,Morning,Weekend
Tea,97,0.47,2017,1,Afternoon,Weekday
Tea,92,0.45,2017,2,Afternoon,Weekday
Bread,93,0.45,2017,1,Morning,Weekend
Coffee,93,0.45,2017,3,Afternoon,Weekend
Tea,90,0.44,2017,3,Afternoon,Weekday
Sandwich,83,0.4,2017,3,Afternoon,Weekday
Coffee,81,0.39,2016,12,Morning,Weekend
Cake,78,0.38,2017,3,Afternoon,Weekday
Cake,78,0.38,2017,1,Afternoon,Weekday
Bread,73,0.36,2016,12,Morning,Weekend
Coffee,73,0.36,2017,3,Morning,Weekend
Tea,71,0.35,2016,11,Afternoon,Weekday
Tea,71,0.35,2016,12,Afternoon,Weekday
Bread,71,0.35,2016,11,Afternoon,Weekend
Bread,69,0.34,2017,2,Morning,Weekend
Coffee,67,0.33,2017,4,Afternoon,Weekend
Sandwich,66,0.32,2017,2,Afternoon,Weekday
Bread,63,0.31,2016,12,Afternoon,Weekend
Pastry,61,0.3,2017,3,Morning,Weekday
Coffee,61,0.3,2017,6,Afternoon,Weekday
Cake,61,0.3,2017,2,Afternoon,Weekday
Coffee,57,0.28,2017,6,Morning,Weekday
Coffee,55,0.27,2016,10,Morning,Weekday
Bread,55,0.27,2017,3,Morning,Weekend
Bread,56,0.27,2017,2,Afternoon,Weekend
Bread,56,0.27,2017,3,Afternoon,Weekend
Pastry,54,0.26,2016,11,Morning,Weekday
Coffee,54,0.26,2017,4,Morning,Weekend
Tea,53,0.26,2017,1,Afternoon,Weekend
Cake,51,0.25,2016,12,Afternoon,Weekday
Sandwich,52,0.25,2016,12,Afternoon,Weekday
Sandwich,52,0.25,2017,1,Afternoon,Weekday
Cake,52,0.25,2017,2,Afternoon,Weekend
Tea,49,0.24,2016,11,Morning,Weekday
Sandwich,50,0.24,2016,11,Afternoon,Weekday
Cookies,49,0.24,2017,3,Afternoon,Weekday
Soup,49,0.24,2017,3,Afternoon,Weekday
Coffee,49,0.24,2017,5,Afternoon,Weekend
Medialuna,48,0.23,2016,11,Morning,Weekday
Coffee,47,0.23,2017,7,Morning,Weekday
Coffee,48,0.23,2017,10,Afternoon,Weekday
